asset,time,datetime_utc,open,high,low,close,long_liquidation_usd,short_liquidation_usd,total_liquidation_usd
BTCUSDT,1781019000,2026-06-09 15:30:00+00:00,61273.3,61399.6,61176.2,61292.9,0.0,0.0,0.0
BTCUSDT,1781019900,2026-06-09 15:45:00+00:00,61292.9,61387.8,61001.0,61100.7,0.0,0.0,0.0
BTCUSDT,1781020800,2026-06-09 16:00:00+00:00,61100.6,61191.2,60908.8,60977.3,0.0,0.0,0.0
BTCUSDT,1781021700,2026-06-09 16:15:00+00:00,60977.3,61107.2,60827.7,61019.6,0.0,0.0,0.0
BTCUSDT,1781022600,2026-06-09 16:30:00+00:00,61019.5,61297.1,60755.0,61217.2,0.0,0.0,0.0
BTCUSDT,1781023500,2026-06-09 16:45:00+00:00,61217.1,61490.0,61136.8,61367.5,0.0,0.0,0.0
BTCUSDT,1781024400,2026-06-09 17:00:00+00:00,61367.5,61659.3,61367.0,61577.7,0.0,0.0,0.0
BTCUSDT,1781025300,2026-06-09 17:15:00+00:00,61577.6,61860.0,61550.6,61718.7,0.0,0.0,0.0
BTCUSDT,1781026200,2026-06-09 17:30:00+00:00,61718.7,61819.7,61657.1,61660.8,0.0,0.0,0.0
BTCUSDT,1781027100,2026-06-09 17:45:00+00:00,61660.9,61825.0,61568.1,61667.1,0.0,0.0,0.0
BTCUSDT,1781028000,2026-06-09 18:00:00+00:00,61667.2,61800.0,61580.2,61719.8,0.0,0.0,0.0
BTCUSDT,1781028900,2026-06-09 18:15:00+00:00,61719.8,61939.0,61627.8,61704.8,0.0,0.0,0.0
BTCUSDT,1781029800,2026-06-09 18:30:00+00:00,61704.8,61798.4,61563.3,61576.7,0.0,0.0,0.0
BTCUSDT,1781030700,2026-06-09 18:45:00+00:00,61576.7,61800.0,61576.7,61756.1,0.0,0.0,0.0
BTCUSDT,1781031600,2026-06-09 19:00:00+00:00,61756.2,61890.0,61702.5,61745.0,0.0,0.0,0.0
BTCUSDT,1781032500,2026-06-09 19:15:00+00:00,61745.0,61887.3,61685.0,61844.2,0.0,0.0,0.0
BTCUSDT,1781033400,2026-06-09 19:30:00+00:00,61844.2,62028.2,61730.7,61852.3,0.0,0.0,0.0
BTCUSDT,1781034300,2026-06-09 19:45:00+00:00,61852.4,62079.5,61731.5,62068.8,0.0,0.0,0.0
BTCUSDT,1781035200,2026-06-09 20:00:00+00:00,62068.9,62187.9,61920.9,62186.8,0.0,0.0,0.0
BTCUSDT,1781036100,2026-06-09 20:15:00+00:00,62186.8,62253.2,61970.4,62061.7,0.0,0.0,0.0
BTCUSDT,1781037000,2026-06-09 20:30:00+00:00,62061.7,62155.4,61950.0,62099.7,0.0,0.0,0.0
BTCUSDT,1781037900,2026-06-09 20:45:00+00:00,62099.7,62132.3,62015.0,62132.3,0.0,0.0,0.0
BTCUSDT,1781038800,2026-06-09 21:00:00+00:00,62132.3,62149.8,62007.9,62109.3,0.0,0.0,0.0
BTCUSDT,1781039700,2026-06-09 21:15:00+00:00,62109.3,62117.7,61738.1,61777.0,0.0,0.0,0.0
BTCUSDT,1781040600,2026-06-09 21:30:00+00:00,61776.9,61880.9,61737.6,61767.0,0.0,0.0,0.0
BTCUSDT,1781041500,2026-06-09 21:45:00+00:00,61767.0,61809.7,61660.0,61732.2,0.0,0.0,0.0
BTCUSDT,1781042400,2026-06-09 22:00:00+00:00,61732.5,61823.3,61630.2,61803.8,0.0,0.0,0.0
BTCUSDT,1781043300,2026-06-09 22:15:00+00:00,61803.8,61918.0,61753.1,61786.6,0.0,0.0,0.0
BTCUSDT,1781044200,2026-06-09 22:30:00+00:00,61786.7,61945.4,61747.5,61822.3,0.0,0.0,0.0
BTCUSDT,1781045100,2026-06-09 22:45:00+00:00,61822.2,61850.0,61637.8,61688.0,0.0,0.0,0.0
BTCUSDT,1781046000,2026-06-09 23:00:00+00:00,61687.9,61769.8,61613.0,61713.9,0.0,0.0,0.0
BTCUSDT,1781046900,2026-06-09 23:15:00+00:00,61713.9,61850.0,61640.3,61657.6,0.0,0.0,0.0
BTCUSDT,1781047800,2026-06-09 23:30:00+00:00,61657.6,61700.0,61519.0,61607.3,0.0,0.0,0.0
BTCUSDT,1781048700,2026-06-09 23:45:00+00:00,61607.4,61722.0,61555.2,61695.0,0.0,0.0,0.0
BTCUSDT,1781049600,2026-06-10 00:00:00+00:00,61694.9,61864.0,61664.3,61803.7,0.0,0.0,0.0
BTCUSDT,1781050500,2026-06-10 00:15:00+00:00,61803.8,61840.0,61690.6,61819.9,0.0,0.0,0.0
BTCUSDT,1781051400,2026-06-10 00:30:00+00:00,61820.0,61843.1,61404.6,61491.3,0.0,0.0,0.0
BTCUSDT,1781052300,2026-06-10 00:45:00+00:00,61491.4,61908.9,61465.4,61886.5,0.0,0.0,0.0
BTCUSDT,1781053200,2026-06-10 01:00:00+00:00,61886.5,61947.4,61638.8,61797.4,0.0,0.0,0.0
BTCUSDT,1781054100,2026-06-10 01:15:00+00:00,61797.3,61860.0,61710.2,61799.7,0.0,0.0,0.0
BTCUSDT,1781055000,2026-06-10 01:30:00+00:00,61799.6,61861.4,61544.2,61604.9,0.0,0.0,0.0
BTCUSDT,1781055900,2026-06-10 01:45:00+00:00,61604.8,61816.7,61580.0,61680.7,0.0,0.0,0.0
BTCUSDT,1781056800,2026-06-10 02:00:00+00:00,61680.7,61807.9,61510.0,61526.7,0.0,0.0,0.0
BTCUSDT,1781057700,2026-06-10 02:15:00+00:00,61527.0,61544.4,61305.5,61466.0,0.0,0.0,0.0
BTCUSDT,1781058600,2026-06-10 02:30:00+00:00,61466.0,61522.3,61262.0,61342.2,0.0,0.0,0.0
BTCUSDT,1781059500,2026-06-10 02:45:00+00:00,61342.1,61354.0,61201.0,61271.3,0.0,0.0,0.0
BTCUSDT,1781060400,2026-06-10 03:00:00+00:00,61271.4,61452.5,61250.0,61402.0,0.0,0.0,0.0
BTCUSDT,1781061300,2026-06-10 03:15:00+00:00,61402.0,61571.1,61306.0,61540.0,0.0,0.0,0.0
BTCUSDT,1781062200,2026-06-10 03:30:00+00:00,61540.0,61540.0,61405.7,61496.1,0.0,0.0,0.0
BTCUSDT,1781063100,2026-06-10 03:45:00+00:00,61496.2,61559.7,61454.7,61518.2,0.0,0.0,0.0
BTCUSDT,1781064000,2026-06-10 04:00:00+00:00,61518.3,61535.0,61406.0,61473.6,0.0,0.0,0.0
BTCUSDT,1781064900,2026-06-10 04:15:00+00:00,61473.7,61520.0,61422.0,61440.8,0.0,0.0,0.0
BTCUSDT,1781065800,2026-06-10 04:30:00+00:00,61440.7,61440.7,61153.5,61200.0,0.0,0.0,0.0
BTCUSDT,1781066700,2026-06-10 04:45:00+00:00,61199.9,61344.0,61160.0,61269.6,0.0,0.0,0.0
BTCUSDT,1781067600,2026-06-10 05:00:00+00:00,61269.6,61295.1,61099.0,61144.9,0.0,0.0,0.0
BTCUSDT,1781068500,2026-06-10 05:15:00+00:00,61145.0,61237.0,61045.7,61237.0,0.0,0.0,0.0
BTCUSDT,1781069400,2026-06-10 05:30:00+00:00,61236.9,61303.8,61156.0,61250.0,0.0,0.0,0.0
BTCUSDT,1781070300,2026-06-10 05:45:00+00:00,61249.9,61368.0,61180.0,61321.6,0.0,0.0,0.0
BTCUSDT,1781071200,2026-06-10 06:00:00+00:00,61321.6,61399.0,61255.5,61364.3,0.0,0.0,0.0
BTCUSDT,1781072100,2026-06-10 06:15:00+00:00,61364.4,61459.4,61287.2,61317.1,0.0,0.0,0.0
BTCUSDT,1781073000,2026-06-10 06:30:00+00:00,61317.1,61432.3,61108.8,61403.6,0.0,0.0,0.0
BTCUSDT,1781073900,2026-06-10 06:45:00+00:00,61403.7,61493.0,61388.9,61436.5,0.0,0.0,0.0
BTCUSDT,1781074800,2026-06-10 07:00:00+00:00,61436.4,61568.4,61400.7,61539.7,0.0,0.0,0.0
BTCUSDT,1781075700,2026-06-10 07:15:00+00:00,61539.7,61688.0,61523.1,61614.8,0.0,0.0,0.0
BTCUSDT,1781076600,2026-06-10 07:30:00+00:00,61614.8,61783.4,61528.5,61723.9,0.0,0.0,0.0
BTCUSDT,1781077500,2026-06-10 07:45:00+00:00,61724.0,61748.9,61622.9,61654.3,0.0,0.0,0.0
BTCUSDT,1781078400,2026-06-10 08:00:00+00:00,61654.3,61680.0,61503.8,61582.3,0.0,0.0,0.0
BTCUSDT,1781079300,2026-06-10 08:15:00+00:00,61582.4,61707.6,61450.0,61508.0,0.0,0.0,0.0
BTCUSDT,1781080200,2026-06-10 08:30:00+00:00,61507.9,61575.6,61206.8,61207.9,0.0,0.0,0.0
BTCUSDT,1781081100,2026-06-10 08:45:00+00:00,61207.9,61300.0,61128.7,61228.7,0.0,0.0,0.0
BTCUSDT,1781082000,2026-06-10 09:00:00+00:00,61228.8,61288.0,61020.5,61032.4,0.0,0.0,0.0
BTCUSDT,1781082900,2026-06-10 09:15:00+00:00,61032.5,61216.9,60691.9,61176.6,0.0,0.0,0.0
BTCUSDT,1781083800,2026-06-10 09:30:00+00:00,61176.7,61396.4,61150.6,61234.3,0.0,0.0,0.0
BTCUSDT,1781084700,2026-06-10 09:45:00+00:00,61234.3,61376.9,61121.2,61302.7,0.0,0.0,0.0
BTCUSDT,1781085600,2026-06-10 10:00:00+00:00,61303.2,61321.1,61133.1,61205.4,0.0,0.0,0.0
BTCUSDT,1781086500,2026-06-10 10:15:00+00:00,61205.4,61333.2,61113.2,61301.5,0.0,0.0,0.0
BTCUSDT,1781087400,2026-06-10 10:30:00+00:00,61301.5,61426.7,61230.2,61281.9,0.0,0.0,0.0
BTCUSDT,1781088300,2026-06-10 10:45:00+00:00,61281.8,61383.9,61250.0,61350.1,0.0,0.0,0.0
BTCUSDT,1781089200,2026-06-10 11:00:00+00:00,61350.1,61406.0,60824.5,61138.1,0.0,0.0,0.0
BTCUSDT,1781090100,2026-06-10 11:15:00+00:00,61138.1,61228.7,60845.3,60936.2,0.0,0.0,0.0
BTCUSDT,1781091000,2026-06-10 11:30:00+00:00,60936.2,61033.4,60891.5,60990.6,0.0,0.0,0.0
BTCUSDT,1781091900,2026-06-10 11:45:00+00:00,60990.5,61087.7,60943.0,61003.1,0.0,0.0,0.0
BTCUSDT,1781092800,2026-06-10 12:00:00+00:00,61003.1,61195.2,60930.0,61161.0,0.0,0.0,0.0
BTCUSDT,1781093700,2026-06-10 12:15:00+00:00,61161.1,61219.2,61010.8,61134.7,0.0,0.0,0.0
BTCUSDT,1781094600,2026-06-10 12:30:00+00:00,61134.8,61918.0,61101.6,61660.0,0.0,0.0,0.0
BTCUSDT,1781095500,2026-06-10 12:45:00+00:00,61660.0,61770.4,61531.7,61531.7,0.0,0.0,0.0
BTCUSDT,1781096400,2026-06-10 13:00:00+00:00,61531.8,61597.4,61468.6,61501.3,0.0,0.0,0.0
BTCUSDT,1781097300,2026-06-10 13:15:00+00:00,61501.3,61561.0,61406.8,61531.1,0.0,0.0,0.0
BTCUSDT,1781098200,2026-06-10 13:30:00+00:00,61531.1,62357.4,61474.7,62357.4,0.0,0.0,0.0
BTCUSDT,1781099100,2026-06-10 13:45:00+00:00,62357.4,62445.0,62037.0,62123.9,0.0,0.0,0.0
BTCUSDT,1781100000,2026-06-10 14:00:00+00:00,62123.9,62230.0,61960.5,61975.1,0.0,0.0,0.0
BTCUSDT,1781100900,2026-06-10 14:15:00+00:00,61975.2,62142.9,61830.0,62020.0,0.0,0.0,0.0
BTCUSDT,1781101800,2026-06-10 14:30:00+00:00,62020.0,62089.4,61782.0,61915.0,0.0,0.0,0.0
BTCUSDT,1781102700,2026-06-10 14:45:00+00:00,61915.0,62174.4,61785.5,62170.8,0.0,0.0,0.0
BTCUSDT,1781103600,2026-06-10 15:00:00+00:00,62170.9,62399.9,61834.8,61908.0,0.0,0.0,0.0
BTCUSDT,1781104500,2026-06-10 15:15:00+00:00,61908.1,62331.0,61814.0,62229.7,0.0,0.0,0.0
BTCUSDT,1781105400,2026-06-10 15:30:00+00:00,62229.7,62397.0,62157.4,62363.6,0.0,0.0,0.0
BTCUSDT,1781106300,2026-06-10 15:45:00+00:00,62363.7,62840.2,62085.7,62604.8,0.0,0.0,0.0
BTCUSDT,1781107200,2026-06-10 16:00:00+00:00,62604.7,62617.1,62288.6,62309.9,0.0,0.0,0.0
BTCUSDT,1781108100,2026-06-10 16:15:00+00:00,62309.9,62418.7,62076.0,62252.8,0.0,0.0,0.0
BTCUSDT,1781109000,2026-06-10 16:30:00+00:00,62252.8,62384.9,62123.9,62192.4,0.0,0.0,0.0
BTCUSDT,1781109900,2026-06-10 16:45:00+00:00,62192.4,62197.7,61891.2,62194.5,0.0,0.0,0.0
BTCUSDT,1781110800,2026-06-10 17:00:00+00:00,62194.6,62330.3,61975.7,62063.8,0.0,0.0,0.0
BTCUSDT,1781111700,2026-06-10 17:15:00+00:00,62063.8,62169.5,61853.4,61871.3,0.0,0.0,0.0
BTCUSDT,1781112600,2026-06-10 17:30:00+00:00,61871.4,61897.3,61616.0,61719.4,0.0,0.0,0.0
BTCUSDT,1781113500,2026-06-10 17:45:00+00:00,61719.5,62015.8,61690.5,61944.5,0.0,0.0,0.0
BTCUSDT,1781114400,2026-06-10 18:00:00+00:00,61944.4,62137.3,61885.5,61930.2,0.0,0.0,0.0
BTCUSDT,1781115300,2026-06-10 18:15:00+00:00,61930.3,61993.8,61808.0,61992.3,0.0,0.0,0.0
BTCUSDT,1781116200,2026-06-10 18:30:00+00:00,61992.2,61992.3,61712.3,61750.5,0.0,0.0,0.0
BTCUSDT,1781117100,2026-06-10 18:45:00+00:00,61750.6,61869.6,61552.0,61856.0,0.0,0.0,0.0
BTCUSDT,1781118000,2026-06-10 19:00:00+00:00,61856.0,61910.0,61703.6,61718.0,0.0,0.0,0.0
BTCUSDT,1781118900,2026-06-10 19:15:00+00:00,61718.0,61807.9,61641.4,61760.1,0.0,0.0,0.0
BTCUSDT,1781119800,2026-06-10 19:30:00+00:00,61760.0,62038.0,61756.1,61988.4,0.0,0.0,0.0
BTCUSDT,1781120700,2026-06-10 19:45:00+00:00,61988.3,62016.6,61815.8,61908.7,0.0,0.0,0.0
BTCUSDT,1781121600,2026-06-10 20:00:00+00:00,61908.7,61921.2,61644.4,61781.1,0.0,0.0,0.0
BTCUSDT,1781122500,2026-06-10 20:15:00+00:00,61781.2,61918.4,61707.4,61881.4,0.0,0.0,0.0
BTCUSDT,1781123400,2026-06-10 20:30:00+00:00,61881.3,61899.5,61775.0,61775.0,0.0,0.0,0.0
BTCUSDT,1781124300,2026-06-10 20:45:00+00:00,61775.0,61809.8,61673.9,61770.1,0.0,0.0,0.0
BTCUSDT,1781125200,2026-06-10 21:00:00+00:00,61770.1,61773.1,61468.0,61519.2,0.0,0.0,0.0
BTCUSDT,1781126100,2026-06-10 21:15:00+00:00,61519.3,61665.8,61501.0,61547.0,0.0,0.0,0.0
BTCUSDT,1781127000,2026-06-10 21:30:00+00:00,61547.0,61697.7,61541.3,61653.9,0.0,0.0,0.0
BTCUSDT,1781127900,2026-06-10 21:45:00+00:00,61653.9,61665.9,61150.1,61327.3,0.0,0.0,0.0
BTCUSDT,1781128800,2026-06-10 22:00:00+00:00,61327.4,61336.3,61140.0,61216.9,0.0,0.0,0.0
BTCUSDT,1781129700,2026-06-10 22:15:00+00:00,61216.9,61314.7,61068.6,61225.1,0.0,0.0,0.0
BTCUSDT,1781130600,2026-06-10 22:30:00+00:00,61225.0,61547.9,61214.3,61536.2,0.0,0.0,0.0
BTCUSDT,1781131500,2026-06-10 22:45:00+00:00,61536.1,61536.2,61334.8,61353.2,0.0,0.0,0.0
BTCUSDT,1781132400,2026-06-10 23:00:00+00:00,61353.1,61353.1,61162.6,61180.6,0.0,0.0,0.0
BTCUSDT,1781133300,2026-06-10 23:15:00+00:00,61180.6,61556.6,61135.8,61524.4,0.0,0.0,0.0
BTCUSDT,1781134200,2026-06-10 23:30:00+00:00,61524.3,61582.1,61438.8,61517.3,0.0,0.0,0.0
BTCUSDT,1781135100,2026-06-10 23:45:00+00:00,61517.3,61569.1,61447.3,61483.7,0.0,0.0,0.0
BTCUSDT,1781136000,2026-06-11 00:00:00+00:00,61483.6,61672.2,61483.6,61654.7,0.0,0.0,0.0
BTCUSDT,1781136900,2026-06-11 00:15:00+00:00,61654.6,61955.8,61654.6,61860.5,0.0,0.0,0.0
BTCUSDT,1781137800,2026-06-11 00:30:00+00:00,61860.5,61872.0,61740.9,61756.2,0.0,0.0,0.0
BTCUSDT,1781138700,2026-06-11 00:45:00+00:00,61756.2,61906.4,61756.2,61794.6,0.0,0.0,0.0
BTCUSDT,1781139600,2026-06-11 01:00:00+00:00,61794.6,62089.2,61793.5,62012.0,0.0,0.0,0.0
BTCUSDT,1781140500,2026-06-11 01:15:00+00:00,62012.0,62212.0,61985.0,62149.9,0.0,0.0,0.0
BTCUSDT,1781141400,2026-06-11 01:30:00+00:00,62149.8,62350.0,62066.0,62227.9,0.0,0.0,0.0
BTCUSDT,1781142300,2026-06-11 01:45:00+00:00,62228.0,62270.5,62141.1,62180.3,0.0,0.0,0.0
BTCUSDT,1781143200,2026-06-11 02:00:00+00:00,62180.4,62253.8,62080.0,62148.2,0.0,0.0,0.0
BTCUSDT,1781144100,2026-06-11 02:15:00+00:00,62148.5,62278.3,62015.8,62033.5,0.0,0.0,0.0
